央视频道,#genre#
东方卫视,http://113.93.55.247:5555/udp/239.77.1.48:5146
东方卫视高清,http://113.93.55.247:5555/udp/239.77.1.218:5146
东方卫视高清,http://113.93.55.247:5555/udp/239.77.1.156:5146
东方卫视高清,http://113.93.55.247:5555/udp/239.77.0.98:5146
安徽卫视,http://113.93.55.247:5555/udp/239.77.0.50:5146
安徽卫视,http://113.93.55.247:5555/udp/239.77.1.13:5146
安徽卫视高清,http://113.93.55.247:5555/udp/239.77.1.92:5146
安徽卫视高清,http://113.93.55.247:5555/udp/239.77.1.157:5146
安徽卫视高清,http://113.93.55.247:5555/udp/239.77.0.183:5146
北京卫视,http://113.93.55.247:5555/udp/239.77.0.51:5146
北京卫视,http://113.93.55.247:5555/udp/239.77.1.14:5146
北京卫视高清,http://113.93.55.247:5555/udp/239.77.1.4:5146
北京卫视高清,http://113.93.55.247:5555/udp/239.77.1.151:5146
北京卫视高清,http://113.93.55.247:5555/udp/239.77.0.91:5146
天津卫视,http://113.93.55.247:5555/udp/239.77.0.52:5146
天津卫视,http://113.93.55.247:5555/udp/239.77.1.37:5146
天津卫视高清,http://113.93.55.247:5555/udp/239.77.1.141:5146
天津卫视高清,http://113.93.55.247:5555/udp/239.77.1.182:5146
天津卫视高清,http://113.93.55.247:5555/udp/239.77.0.97:5146
天津卫视超清,http://113.93.55.247:5555/udp/239.77.0.131:5146
山东卫视,http://113.93.55.247:5555/udp/239.77.0.53:5146
山东卫视,http://113.93.55.247:5555/udp/239.77.1.66:5146
山东卫视高清,http://113.93.55.247:5555/udp/239.77.1.142:5146
山东卫视高清,http://113.93.55.247:5555/udp/239.77.1.153:5146
山东卫视高清,http://113.93.55.247:5555/udp/239.77.0.94:5146
山东卫视超清,http://113.93.55.247:5555/udp/239.77.0.132:5146
江西卫视,http://113.93.55.247:5555/udp/239.77.0.54:5146
江西卫视,http://113.93.55.247:5555/udp/239.77.1.73:5146
江西卫视高清,http://113.93.55.247:5555/udp/239.77.1.219:5146
江西卫视高清,http://113.93.55.247:5555/udp/239.77.0.149:5146
湖北卫视,http://113.93.55.247:5555/udp/239.77.0.56:5146
湖北卫视,http://113.93.55.247:5555/udp/239.77.1.44:5146
湖北卫视高清,http://113.93.55.247:5555/udp/239.77.1.93:5146
湖北卫视高清,http://113.93.55.247:5555/udp/239.77.1.174:5146
湖北卫视高清,http://113.93.55.247:5555/udp/239.77.0.95:5146
湖北卫视超清,http://113.93.55.247:5555/udp/239.77.0.128:5146
辽宁卫视,http://113.93.55.247:5555/udp/239.77.0.57:5146
辽宁卫视,http://113.93.55.247:5555/udp/239.77.1.62:5146
辽宁卫视高清,http://113.93.55.247:5555/udp/239.77.1.103:5146
辽宁卫视 高清,http://113.93.55.247:5555/udp/239.77.0.123:5146
辽宁卫视超清 ),http://113.93.55.247:5555/udp/239.77.0.161:5146
黑龙江卫视,http://113.93.55.247:5555/udp/239.77.0.58:5146
