组播频道,#genre#
CCTV11,http://117.23.162.73:9001/rtp/239.112.205.213:5140$(陕西咸阳)
CCTV12,http://117.23.162.73:9001/rtp/239.112.205.88:5140$(陕西咸阳)
CCTV14,http://117.23.162.73:9001/rtp/239.112.205.91:5140$(陕西咸阳)
CCTV15,http://117.23.162.73:9001/rtp/239.112.205.214:5140$(陕西咸阳)
CCTV16,http://117.23.162.73:9001/rtp/239.111.205.134:5140$(陕西咸阳)
CCTV17,http://117.23.162.73:9001/rtp/239.112.205.211:5140$(陕西咸阳)

CCTV1,http://113.133.235.222:8014/rtp/239.112.205.59:5140$(陕西渭南)
CCTV2,http://113.133.235.222:8014/rtp/239.112.205.78:5140$(陕西渭南)
CCTV3,http://113.133.235.222:8014/rtp/239.112.205.221:5140$(陕西渭南)
CCTV4,http://113.133.235.222:8014/rtp/239.112.205.202:5140$(陕西渭南)
CCTV5,http://113.133.235.222:8014/rtp/239.112.205.222:5140$(陕西渭南)
CCTV5+,http://113.133.235.222:8014/rtp/239.111.205.13:5140$(陕西渭南)
CCTV6,http://113.133.235.222:8014/rtp/239.112.205.223:5140$(陕西渭南)
CCTV7,http://113.133.235.222:8014/rtp/239.112.205.83:5140$(陕西渭南)
CCTV8,http://113.133.235.222:8014/rtp/239.112.205.224:5140$(陕西渭南)
CCTV9,http://113.133.235.222:8014/rtp/239.112.205.85:5140$(陕西渭南)
CCTV10,http://113.133.235.222:8014/rtp/239.112.205.86:5140$(陕西渭南)
CCTV11,http://113.133.235.222:8014/rtp/239.112.205.213:5140$(陕西渭南)
CCTV12,http://113.133.235.222:8014/rtp/239.112.205.88:5140$(陕西渭南)
CCTV14,http://113.133.235.222:8014/rtp/239.112.205.91:5140$(陕西渭南)
CCTV15,http://113.133.235.222:8014/rtp/239.112.205.214:5140$(陕西渭南)
CCTV16,http://113.133.235.222:8014/rtp/239.111.205.134:5140$(陕西渭南)
CCTV17,http://113.133.235.222:8014/rtp/239.112.205.211:5140$(陕西渭南)


CCTV1,http://1.193.57.68:8800/rtp/239.16.20.1:10010$(河南郑州电信)
CCTV1,http://1.193.57.68:8800/rtp/239.16.10.1:2000$(河南郑州电信)
CCTV2,http://1.193.57.68:8800/rtp/239.16.20.2:10020$(河南郑州电信)
CCTV2,http://1.193.57.68:8800/rtp/239.16.10.127:2000$(河南郑州电信)
CCTV3,http://1.193.57.68:8800/rtp/239.16.20.3:10030$(河南郑州电信)
CCTV3,http://1.193.57.68:8800/rtp/239.16.10.2:2000$(河南郑州电信)
CCTV4,http://1.193.57.68:8800/rtp/239.16.20.4:10040$(河南郑州电信)
CCTV4,http://1.193.57.68:8800/rtp/239.16.10.128:2000$(河南郑州电信)
CCTV5,http://1.193.57.68:8800/rtp/239.16.20.53:10530$(河南郑州电信)
CCTV5,http://1.193.57.68:8800/rtp/239.16.10.132:2000$(河南郑州电信)
CCTV5+,http://1.193.57.68:8800/rtp/239.16.20.5:10050$(河南郑州电信)
CCTV5+,http://1.193.57.68:8800/rtp/239.16.10.3:2000$(河南郑州电信)
CCTV6,http://1.193.57.68:8800/rtp/239.16.20.6:10060$(河南郑州电信)
CCTV6,http://1.193.57.68:8800/rtp/239.16.10.101:2000$(河南郑州电信)
CCTV7,http://1.193.57.68:8800/rtp/239.16.20.51:10510$(河南郑州电信)
CCTV7,http://1.193.57.68:8800/rtp/239.16.10.130:2000$(河南郑州电信)
CCTV8,http://1.193.57.68:8800/rtp/239.16.20.8:10080$(河南郑州电信)
CCTV8,http://1.193.57.68:8800/rtp/239.16.10.102:2000$(河南郑州电信)
CCTV9,http://1.193.57.68:8800/rtp/239.16.20.9:10090$(河南郑州电信)
CCTV9,http://1.193.57.68:8800/rtp/239.16.10.103:2000$(河南郑州电信)
CCTV10,http://1.193.57.68:8800/rtp/239.16.20.10:10100$(河南郑州电信)
CCTV10,http://1.193.57.68:8800/rtp/239.16.10.108:2000$(河南郑州电信)
CCTV11,http://1.193.57.68:8800/rtp/239.16.20.11:10110$(河南郑州电信)
CCTV11,http://1.193.57.68:8800/rtp/239.16.10.109:2000$(河南郑州电信)
CCTV12,http://1.193.57.68:8800/rtp/239.16.20.12:10120$(河南郑州电信)
CCTV12,http://1.193.57.68:8800/rtp/239.16.10.110:2000$(河南郑州电信)
CCTV13,http://1.193.57.68:8800/rtp/239.16.20.13:10130$(河南郑州电信)
CCTV13,http://1.193.57.68:8800/rtp/239.16.10.111:2000$(河南郑州电信)
CCTV14,http://1.193.57.68:8800/rtp/239.16.20.14:10140$(河南郑州电信)
CCTV14,http://1.193.57.68:8800/rtp/239.16.10.112:2000$(河南郑州电信)
CCTV15,http://1.193.57.68:8800/rtp/239.16.20.15:10150$(河南郑州电信)
CCTV15,http://1.193.57.68:8800/rtp/239.16.10.113:2000$(河南郑州电信)
CCTV17,http://1.193.57.68:8800/rtp/239.16.20.7:10070$(河南郑州电信)
CCTV17,http://1.193.57.68:8800/rtp/239.16.10.129:2000$(河南郑州电信)

CCTV1,http://221.15.7.28:8888/rtp/225.1.4.73:1102$(河南信阳联通)
CCTV2,http://221.15.7.28:8888/rtp/225.1.4.74:1103$(河南信阳联通)
CCTV3,http://221.15.7.28:8888/rtp/225.1.4.158:1194$(河南信阳联通)
